mhd-term-id,mhd-term,mtbls-st4c,mtbls-term-id,mtbls-term,mw,instance-of
MS_1002726,SYNAPT G2-Si,Waters SYNAPT G2-Si,MTBLS_002263,Waters SYNAPT G2-Si,Waters Synapt G2 Si QTOF,Mass spectrometry instrument
MS_1002727,MALDI SYNAPT G2-Si,,,,,Mass spectrometry instrument
MS_1002728,Vion IMS QTof,Waters Vion IMS QTof,MTBLS_002264,Waters Vion IMS QTof,,Mass spectrometry instrument
MS_1002729,Xevo G2-XS Tof,,,,Waters Xevo-G2-XS,Mass spectrometry instrument
MS_1002730,Xevo TQ-XS,Waters Xevo TQ-XS,MTBLS_000687,Waters Xevo TQ-XS,Waters Xevo TQ-XS,Mass spectrometry instrument
MS_1002731,Xevo TQ-S micro,Waters Xevo TQ-S micro,MTBLS_000686,Waters Xevo TQ-S micro,,Mass spectrometry instrument
MS_1002732,Orbitrap Fusion Lumos,Thermo Scientific Orbitrap Fusion Lumos Tribrid,MTBLS_000656,Thermo Scientific Orbitrap Fusion Lumos Tribrid,Thermo Orbitrap Fusion Lumos Tribrid,Mass spectrometry instrument
MS_1002783,6550 iFunnel Q-TOF LC/MS,Agilent 6550 iFunnel Q-TOF,MTBLS_000620,Agilent 6550 iFunnel Q-TOF,Agilent 6550 QTOF,Mass spectrometry instrument
MS_1002784,6550A iFunnel Q-TOF LC/MS,Agilent 6550A iFunnel Q-TOF,,,,Mass spectrometry instrument
MS_1002785,6520B Q-TOF LC/MS,Agilent 6520B Q-TOF,,,Agilent 6520B QTOF,Mass spectrometry instrument
MS_1002786,6530A Q-TOF LC/MS,Agilent 6530A Accurate-Mass Q-TOF; Agilent G6530A Q-TOF,MTBLS_000616,Agilent 6530A Accurate-Mass Q-TOF,Agilent 6530A QTOF; Agilent G6530A,Mass spectrometry instrument
MS_1002787,6530B Q-TOF LC/MS,Agilent 6530B Accurate-Mass Q-TOF,MTBLS_000617,Agilent 6530B Accurate-Mass Q-TOF,,Mass spectrometry instrument
MS_1002788,6538 Q-TOF LC/MS,Agilent 6538 Accurate-Mass Q-TOF,MTBLS_002096,Agilent 6538 Accurate-Mass Q-TOF,Agilent 6538 QTOF,Mass spectrometry instrument
MS_1002789,6540 Q-TOF LC/MS,Agilent 6540 Q-TOF,MTBLS_000618,Agilent 6540 Q-TOF,Agilent 6540 QTOF,Mass spectrometry instrument
MS_1002790,6542 Q-TOF LC/MS,,,,,Mass spectrometry instrument
MS_1002791,6545 Q-TOF LC/MS,Agilent 6545 Q-TOF,MTBLS_000619,Agilent 6545 Q-TOF,Agilent 6545 QTOF,Mass spectrometry instrument
MS_1002792,6560 Q-TOF LC/MS,Agilent 6560 Ion Mobility Q-TOF,MTBLS_000621,Agilent 6560 Ion Mobility Q-TOF,Agilent 6560 Ion Mobility,Mass spectrometry instrument
MS_1002793,6570 Q-TOF LC/MS,,,,,Mass spectrometry instrument
MS_1002794,6120B Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1002795,6150 Quadrupole LC/MS,,,,,Mass spectrometry instrument
MS_1002796,6224 Time-of-Flight LC/MS,Agilent 6224 Accurate-Mass TOF,MTBLS_000606,Agilent 6224 Accurate-Mass TOF,Agilent 6224 TOF,Mass spectrometry instrument
MS_1002797,6230A Time-of-Flight LC/MS,,,,,Mass spectrometry instrument
MS_1002798,6230B Time-of-Flight LC/MS,,,,,Mass spectrometry instrument
MS_1002799,6430 Triple Quadrupole LC/MS,Agilent 6430 Triple Quadrupole,MTBLS_000608,Agilent 6430 Triple Quadrupole,,Mass spectrometry instrument
